Address,Borough,Items_Accepted,Latitude,Longitude,Vendor_Name
308 W 46Th St,Manhattan,"Clothing, Shoes, Coats",40.759864,-73.988674,St. Luke's Lutheran Church
25 W 14 St,Manhattan,Denim only.,40.7367281,-73.994777,Levi Strauss
44-02 Broadway,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.757256,-73.915786,Helpsy
556 Wilson Ave,Brooklyn,"clothing, shoes, coats, accessories, bedding, towels, other",40.69082,-73.90866,HELPSY
130-37 Merrick Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.679935,-73.761702,Helpsy
111 5 Ave,Manhattan,"Clothes and home textiles from any brand, in clean and dry condition. Bring in your items and receive 15% off your next purchase. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/.",40.7385759,-73.991523,H&M
3400 Baychester Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.879549,-73.837243,Helpsy
340 Willis Ave,Bronx,"Clothing, Shoes, Bedding And Linens, Towels, Coats",40.81134,-73.920964,Abraham House
114-05 Farmers Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.697781,-73.761993,Helpsy
2101 Broadway,Manhattan,Contact store for details,40.779755,-73.981967,The North Face
222-51 Jamaica Ave,Queens,"Clothing, Shoes",40.721675,-73.731514,Usagain LLC
49 Fulton St,Manhattan,"Clothing, Shoes, Coats, Accessories",40.708202,-74.003801,St. Margaret's House Thrift Shop
319 New Dorp,Staten Island,"Clothing, Shoes, Accessories",40.571707,-74.111631,Community Recycling LLC
1309 Boston Rd,Bronx,"Clothing, Shoes",40.831494,-73.90005,Usagain LLC
3236 Boston Rd,Bronx,"Clothing, Shoes",40.872065,-73.854725,Usagain LLC
420 W 145 St,Manhattan,"Clothing, Shoes, Coats",40.824318,-73.946039,Convent Avenue Baptist Church
185 Kings Hwy,Brooklyn,"Clothing, Shoes, Coats, Towels",40.605899,-73.98438,Carecycle Inc
1490 Hylan Blvd,Staten Island,"Clothing, Shoes, Accessories",40.592177,-74.087324,Community Recycling LLC
268 Elizabeth St.,Manhattan,They only accept T-shirts with the exception of any made of spandex. Can receive $5 credit for each tee up to $25.,40.7240911,-73.993344,Marine Layer
589 5 Ave,Manhattan,"Clothes and home textiles from any brand, in clean and dry condition. Bring in your items and receive 15% off your next purchase. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/.",40.75702,-73.97802,H&M
73-26 Metropolitan Ave,Queens,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.71272,-73.878368,The Salvation Army Of Greater New York
65-01 Grand Ave,Queens,Contact store for details,40.723304,-73.90094,On the Road Again
30-61 87th St,Queens,"Clothing, Coats, Shoes, Towels, Bedding",40.760001,-73.881278,Atonement Lutheran Church
414 Hooper St,Brooklyn,"Clothing, Shoes, Coats",40.710421,-73.951617,Church of God of Prophecy
6822 3 Ave,Brooklyn,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.636184,-74.026053,The Salvation Army 3rd Ave
3080 Arthur Kill Rd,Staten Island,"Clothing, Shoes",40.543853,-74.232314,Planet Aid
2400 Hylan Blvd,Staten Island,"Clothing, Shoes, Accessories",40.572297,-74.10701,Community Recycling LLC
1 Smith St,Brooklyn,"Clothing, Shoes, Accessories",40.691101,-73.987273,The HOPE Program (Professional Clothing Only)
150-62 78 Rd,Queens,"Clothing, Shoes, Coats",40.720988,-73.81151,Jewish Food Pantry Of Ahvat Achim
1791 Utica Ave,Brooklyn,"Clothing, Shoes, Coats, Towels",40.628933,-73.927624,Carecycle Inc
200 Mcclean Ave,Staten Island,"Clothing, Shoes, Coats",40.597056,-74.068629,H&M Leasing Corp
3220 WESTCHESTER AVE,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.8518472,-73.8287882,USAGAIN LLC
18-74 Mott Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.603674,-73.750958,Helpsy
135 N 7 St,Brooklyn,Contact store for details,40.718691,-73.95798,Crossroads Trading Co.
213-02 Jamaica Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.71613,-73.744753,Helpsy
2441 Boston Rd,Bronx,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.862181,-73.867175,The Salvation Army Of Greater New York
1455 Fulton Ave,Bronx,"Clothing, Shoes, Coats, Accessories, Towels, Bedding",40.835793,-73.901026,Community Action for Human Services
1001 E 100 St,Brooklyn,"Clothing, Shoes",40.643271,-73.89584,Usagain LLC
2958 Atlantic Ave,Brooklyn,"Clothing, Shoes",40.67754,-73.884953,Usagain LLC
71-30 Beach Channel Dr,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.591853,-73.800352,Helpsy
1781 Atlantic Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.677482,-73.927889,Helpsy
513 Flatbush Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.661457,-73.960986,Helpsy
1867 Amsterdam Ave1A,Manhattan,"Clothing, Shoes, Coats, Accessories",40.829832,-73.94399,New York African Chorus Ensemble
1501 Broadway,Manhattan,Denim only.,40.757068,-73.986446,Levi Strauss
3480 Seymour Ave,Bronx,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.87776,-73.849749,Urban Neighborhood Educational Technology for You Inc
1810 Randall Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.816936,-73.862545,Usagain LLC
709 Tiffany St,Bronx,"Clothing, Shoes, Coats",40.814067,-73.891327,The Prodigal Center
161-15 Crossbay Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.655157,-73.838411,Helpsy
3236 Steinway St,Queens,"Clothing, Shoes, Coats, Accessories",40.758153,-73.91996,Steinway Thrift Shop
39 W 34th Street,Manhattan,"They accept any kind of clothing, fabrics, household linens, footwear, accessories, and jewelry.",40.7743337,-73.982528,Zara
6620 Avenue U,Brooklyn,"Clothing, Shoes, Coats, Towels",40.61718,-73.909521,Carecycle Inc
111-16 173rd St,Queens,"Clothing, Shoes, Bedding And Linens, Coats, Accessories, Rugs, Towels",40.694756,-73.779498,V.E.T.S. Inc
213 West 34th Street,Manhattan,Shoes,40.751413,-73.991204,DSW
1139 Bushwick Ave,Brooklyn,"Clothing, Shoes, Coats",40.68971,-73.917917,Bushwick Community Council Inc
4415 AveL Pvt,Brooklyn,"Clothing, Shoes, Coats",40.623429,-73.932561,helpinghands for life
115-50 Merrick Blvd,Queens,"Clothing, Shoes",40.688508,-73.777157,Usagain LLC
1029 Washington Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.826846,-73.909661,County Recycling LLC
341 Columbus Ave,Manhattan,Contact store for details,40.780098,-73.976598,Eileen Fisher
570 Manhattan Ave,Brooklyn,Contact store for details,40.722506,-73.94992,Fox & Fawn
146 Wolcott St,Brooklyn,"Clothing, Shoes",40.678604,-74.01429,Usagain LLC
214 W 97 St,Manhattan,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels, Rugs",40.794839,-73.970675,St. Francis Thrift Store/ Food Pantry
90-77 198 St,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.713974,-73.760885,Helpsy
1600-1650 Bruckner Blvd,Brooklyn,"Clothing, Shoes, Coats",40.823418,-73.874646,H&M Leasing Corp
1248 Coney Island Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.627399,-73.96606,Helpsy
1252 Madison Ave,Manhattan,The nonprofit Free the Girls accepts gently-used bras at this store location.,40.783378,-73.957219,Rigby & Peller - New York Madison @ 90th
1492 Hylan Blvd,Staten Island,"Clothing, Shoes, Accessories",40.591824,-74.087151,Community Recycling LLC
627 Broadway,New York,"Bedding - sheets & blankets. All brands in clean, dry condition accepted. Please place sheets in a sealed plastic bag. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.7261831,-73.996509,Casper Sleep Shop
1153 Forest Ave,Staten Island,"Clothing, Shoes",40.626801,-74.128469,Usagain LLC
155 Utica Ave,Brooklyn,"Clothing, Shoes",40.673545,-73.930494,Usagain LLC
128-02 14 Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.785194,-73.840012,County Recycling LLC
2241 Southern Blvd,Bronx,"Clothing, Shoes",40.849291,-73.883535,Usagain LLC
635 Madison Avenue,Manhattan,"Clothing & shoes. Bring in your unwanted items & receive an exclusive bag made from re-purposed fabrics while supplies last. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.7636,-73.97113,Suitsupply
319 Kings Hwy,Brooklyn,"Clothing, Shoes, Accessories",40.605162,-73.978366,Community Recycling LLC
75-15 Northern Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.755077,-73.891123,Helpsy
169-65 137 Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.672881,-73.770503,County Recycling LLC
126-01 Hillside Ave,Queens,"Clothing, Shoes, Coats, Towels",40.702973,-73.825292,Carecycle Inc
62-59 Fresh Pond Rd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.712286,-73.900135,Helpsy
28 Caton Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.647086,-73.980656,Helpsy
1180 Bay St,Staten Island,"Clothing, Shoes, Accessories",40.614378,-74.066616,Community Recycling LLC
3763 83rd St,Queens,"Clothing, Shoes, Coats",40.747994,-73.882843,LGBT Center Intercultural Collective Inc.
1414 Castleton Ave,Staten Island,"Clothing, Shoes",40.633676,-74.129754,Planet Aid
27-07 Francis Lewis Blvd,Queens,"Clothing, Shoes, Coats, Towels",40.772094,-73.794246,Carecycle Inc
2600 Hylan Blvd,Staten Island,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.566216,-74.112663,American Recycling Technologies Inc.
126-02 82 Ave,Queens,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Fabric",40.756683,-73.828871,Garden of Hope
529 Utica Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.660483,-73.930708,Helpsy
222 East 23 St,Manhattan,"Clothing, Shoes, Linens, Accessories, Rugs",40.738245,-73.98216,City Opera Thrift Shop
1145 Glenmore Ave,Brooklyn,"Clothing, Shoes",40.677641,-73.866601,Usagain LLC
145-03 Rockaway Blvd,Queens,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels, Rugs",40.673878,-73.79345,Morris Brown Helping Hand Food Program
235 E 233 St,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.896546,-73.869243,Helpsy
4109 Park Ave,Bronx,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.845568,-73.90103,The Salvation Army Of Greater New York
109-41 Francis Lewis Blvd,Queens,"Clothing, Shoes, Coats",40.70774,-73.751029,Women on the Rise for God Ministries
765 Putnam Ave,Brooklyn,"Clothing, Shoes",40.686486,-73.930884,Planet Aid
3901 New Utrecht Ave,Brooklyn,"Clothing, Shoes",40.645157,-73.99416,Usagain LLC
58-01 Queens Blvd,Queens,"Clothing, Shoes, Coats, Towels",40.74221,-73.906818,Carecycle Inc
7718 Flatlands Ave,Brooklyn,"Clothing, Shoes",40.634181,-73.914649,Usagain LLC
515 5 Ave,Brooklyn,"Clothing, Shoes, Linens, Accessories",40.666485,-73.988099,Life Boutique Thrift
172-12 Hillside Ave,Queens,"Clothing, Shoes",40.711746,-73.789635,Usagain LLC
109 Boerum Pl,Brooklyn,Contact store for details,40.688172,-73.99121,Buffalo Exchange
175-04 Horace Harding Expy,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.738305,-73.793949,Helpsy
446 New Lots Ave,Brooklyn,"Clothing, Shoes",40.662457,-73.891054,Usagain LLC
3816 9th Ave,Manhattan,"Clothing, Shoes, Coats",40.862224,-73.918497,NYC Love Kitchen
187 Beach 115 St,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.579689,-73.836212,Helpsy
253-01 Union Tpke,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.744553,-73.717292,Friendship Circle
18-33 Cornaga Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.602224,-73.750637,Helpsy
469 Vermont St,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.667991,-73.892726,Helpsy
64 W 35 St 3 Fl,Manhattan,"Clothing, Shoes, Coats",40.750142,-73.986834,The Alliance for Positive Change
33-34 21 St,Queens,"Clothing, Shoes",40.763976,-73.933364,Usagain LLC
59-65 Prince St,Brooklyn,"Clothing, Shoes",40.695576,-73.982255,CAMBA Opportunity House
844 E 163 St,Bronx,"Clothing, Shoes, Coats",40.822109,-73.900559,The HopeLine
170 Broad St,Staten Island,"Clothing, Shoes",40.623982,-74.08028,Planet Aid
46-25 Greenpoint Ave,Queens,"Clothing, Shoes, Coats, Accessories",40.742605,-73.91813,Sunnyside Thrift Shop
39 1/2 Washington Sq. South,Manhattan,Contact store for details,40.730927,-73.99928,Clementine Consignment
350 Grand Concourse,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.81563,-73.928355,Helpsy
425 West 47 St,Manhattan,"Clothing, Shoes, Coats",40.762246,-73.991221,Fountain House Thrift Shop
550 Gateway Drive,Brooklyn,Shoes,40.654285,-73.870567,DSW
1412 Eastern Pkwy,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.66863,-73.921492,Helpsy
495 Broadway,Manhattan,Denim only.,40.7221491,-73.99985,Levi Strauss
2439 Creston Ave,Bronx,"Clothing, Shoes",40.861494,-73.899153,Usagain LLC
144-34 Farmers Blvd,Queens,"Clothing, Shoes",40.667609,-73.766967,Usagain LLC
2981 Ocean Ave,Brooklyn,"Clothing, Shoes, Coats, Towels",40.588328,-73.948932,Carecycle Inc
3308 Edson Ave,Bronx,"Clothing, Shoes, Coats",40.877446,-73.837407,Adventist Community Services
30-05 Whitestone Expy,Queens,"Clothing, Shoes",40.770271,-73.833544,Usagain LLC
38 Wiman Pl,Staten Island,"Clothing, Shoes, Coats, Accessories, Bedding And Linens, Towels, Rugs",40.615694,-74.06634,Good Counsel Homes
4001 4 Ave,Brooklyn,"Clothing, Shoes",40.651744,-74.006681,Usagain LLC
1051 Third Ave,Manhattan,The nonprofit Free the Girls accepts gently-used bras at this store location.,40.7635378,-73.964853,Rigby & Peller
758 E 233 St,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.892494,-73.85546,Helpsy
2453 Westchester Ave,Bronx,"Clothing, Shoes",40.838131,-73.845812,Usagain LLC
119-01 Atlantic Ave,Queens,"Clothing, Shoes",40.694504,-73.827915,Usagain LLC
446 W 36 St,Manhattan,"Clothing, Shoes, Coats, Bedding And Linens, Accessories",40.755358,-73.997488,MCCNY Charities
1517 3 Ave,Manhattan,"Clothing, Shoes, Purses, Gloves, Scarves, Hats, belts, Towels, Curtains, Bedding and Linens. Clean Rags and Torn Clothing",40.77838,-73.95392,Athleta
571 Coney Island Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.643334,-73.969481,Helpsy
145-105 Guy R Brewer Blvd,Queens,"Clothing, Shoes",40.663374,-73.768217,Usagain LLC
681 E Tremont Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.845792,-73.891299,Usagain LLC
1640 Flatbush Ave,Brooklyn,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.630364,-73.945419,American Recycling Technologies Inc.
565 Manor Rd,Staten Island,Contact store for details,40.613489,-74.12241,Monkey Girlz Treasures Consignment Boutique
145-55 Guy R Brewer Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.664547,-73.768585,Helpsy
218 W 234 St,Bronx,"Clothing, Shoes, Coats, Accessories",40.882037,-73.90366,MYUNIQUE Thrift Bronx
235 West Broadway,Manhattan,Contact store for details,40.719448,-74.005889,J. Crew
2727 Cropsey Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels , Coats",40.587914,-73.989236,S L Advantage
186 2 Ave,Manhattan,"Clothing, Shoes, Linens, Accessories",40.730735,-73.98583,East Village Thrift Shop
25-15 Seagirt Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.595326,-73.759048,Helpsy
237-08 Braddock Ave,Queens,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.727056,-73.73026,American Recycling Technologies Inc.
7307 18th Ave,Brooklyn,"Clothing, Shoes, Coats",40.61408,-73.9949,The Salvation Army Bensonhurst Corps
223 Main St,Staten Island,"Clothing, Shoes, Accessories",40.509662,-74.247445,Tottenville Thrift Shop
46-25 Kissena Blvd,Queens,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.75023,-73.817918,American Recycling Technologies Inc.
125 W 125 St,Manhattan,"Clothes and home textiles from any brand, in clean and dry condition. Bring in your items and receive 15% off your next purchase. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/.",40.8084736,-73.946826,H&M
2869 Fulton St,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.678966,-73.888445,Helpsy
169 E 98 St,Brooklyn,"Clothing, Shoes",40.662982,-73.920468,Usagain LLC
9015 Queens Blvd,Queens,"Clothing & shoes. Bring in a minimum of 5 items & receive 15% off your next purchase. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.7346132,-73.86945,GUESS
1881 Forest Ave,Staten Island,"Clothing, Shoes",40.62571,-74.151705,Planet Aid
184-17 Hillside Ave,Queens,"Clothing, Shoes",40.714396,-73.777456,Usagain LLC
6709 108 St,Queens,"Clothing, Shoes",40.728734,-73.847098,Usagain LLC
20-49 Palmetto St,Queens,"Clothing, Shoes",40.707133,-73.903611,Usagain LLC
81-02 Atlantic Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.68473,-73.85963,Helpsy
1205 Flatbush Ave,Brooklyn,"Clothing, Shoes",40.640881,-73.955752,Planet Aid
21b Bellamy Loop,Bronx,"Clothing, Coats, Shoes, Bedding",40.872846,-73.82613,Good Shepherd Hands Corp.
252 1st Ave,Manhattan,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.731901,-73.98172,Green Tree Textiles at Stuyvesant Town Greenmarket
189-03 Union Tpke,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.72935,-73.77987,Friendship Circle
